Cidade;Latitude;Longitude
ITAPORANGA;-7,30398;-38,152573
ITAPOROROCA;-6,82992;-35,246296
ITATUBA;-7,374958;-35,628161
JACARAÚ;-6,612969;-35,294282
JERICÓ;-6,556195;-37,808641
JOÃO PESSOA;-7,149382;-34,873385
JUAREZ TÁVORA;-7,166345;-35,591178
JUAZEIRINHO;-7,065368;-36,570701
JUNCO DO SERIDÓ;-6,993338;-36,716441
JURIPIRANGA;-7,370291;-35,239454
JURU;-7,534307;-37,819264
LAGOA;-6,594209;-37,91509
LAGOA DE DENTRO;-6,670599;-35,377044
LAGOA SECA;-7,158412;-35,85144
LASTRO;-6,516531;-38,179218
LIVRAMENTO;-7,379003;-36,948629
LOGRADOURO;-6,615371;-35,443299
LUCENA;-6,898849;-34,874609
MÃE D'ÁGUA;-7,257049;-37,428161
MALTA;-6,907185;-37,517776
MAMANGUAPE;-6,833715;-35,123893
MANAÍRA;-7,704614;-38,153072
MARCAÇÃO;-6,770054;-35,013924
MARI;-7,056384;-35,318542
MARIZÓPOLIS;-6,844674;-38,355396
MASSARANDUBA;-7,180199;-35,737515
MATARACA;-6,600519;-35,048558
MATINHAS;-7,121168;-35,770937
MATO GROSSO;-6,542633;-37,711573
MATURÉIA;-7,26593;-37,350434
MOGEIRO;-7,309481;-35,482425
MONTADAS;-7,089096;-35,958275
MONTE HOREBE;-7,209526;-38,583657
MONTEIRO;-7,892217;-37,122681
MULUNGU;-7,027886;-35,465143
NATUBA;-7,640979;-35,556145
NAZAREZINHO;-6,912701;-38,318913
NOVA FLORESTA;-6,45614;-36,202495
NOVA OLINDA;-7,476843;-38,04105
NOVA PALMEIRA;-6,676606;-36,418713
OLHO D'ÁGUA;-7,224973;-37,752686
OLIVEDOS;-6,988226;-36,243665
OURO VELHO;-7,618652;-37,154379
PARARI;-7,3167;-36,658324
PASSAGEM;-7,13282;-37,054392
PATOS;-7,024492;-37,276913
PAULISTA;-6,594062;-37,621056
PEDRA BRANCA;-7,426564;-38,072246
PEDRA LAVRADA;-6,757881;-36,47205
PEDRAS DE FOGO;-7,401539;-35,113178
PIANCÓ;-7,19257;-37,926519
PICUÍ;-6,510136;-36,347046
PILAR;-7,259888;-35,25988
PILÕES;-6,869221;-35,615541
PILÕEZINHOS;-6,840569;-35,530586
PIRPIRITUBA;-6,7808;-35,497716
PITIMBU;-7,482413;-34,81393
POCINHOS;-7,078617;-36,056442
POÇO DANTAS;-6,407176;-38,497166
POÇO DE JOSÉ DE MOURA;-6,576919;-38,51
POMBAL;-6,769855;-37,798267
PRATA;-7,696983;-37,082334
PRINCESA ISABEL;-7,733866;-37,993664
PUXINANÃ;-7,148907;-35,958494
QUEIMADAS;-7,360792;-35,899434
QUIXABÁ;-7,030818;-37,147099
REMÍGIO;-6,966293;-35,795833
PEDRO RÉGIS;-6,644471;-35,293006
RIACHÃO;-6,542677;-35,662722
RIACHÃO DO BACAMARTE;-7,250595;-35,655388
RIACHÃO DO POÇO;-7,151504;-35,261243
RIACHO DE SANTO ANTÔNIO;-7,690295;-36,15671
RIACHO DOS CAVALOS;-6,436494;-37,653835
RIO TINTO;-6,808449;-35,078852
SALGADINHO;-7,103035;-36,845503
SALGADO DE SÃO FÉLIX;-7,355357;-35,443302
SANTA CECÍLIA;-7,742906;-35,877474
SANTA CRUZ;-6,535014;-38,060556
SANTA HELENA;-6,718694;-38,64279
SANTA INÊS;-7,62778;-38,5596
SANTA LUZIA;-6,871863;-36,921678
SANTANA DE MANGUEIRA;-7,551213;-38,332581
SANTANA DOS GARROTES;-7,387644;-37,985043
SANTARÉM;-6,484055;-38,479152
SANTA RITA;-7,138085;-34,965839
SANTA TERESINHA;-7,084192;-37,441718
SANTO ANDRÉ;-7,220489;-36,630975
SÃO BENTO;-6,489308;-37,44935
SÃO BENTINHO;-6,890309;-37,722721
SÃO DOMINGOS DO CARIRI;-7,632991;-36,435929
SÃO DOMINGOS;-6,815925;-37,942603
SÃO FRANCISCO;-6,61928;-38,097141
SÃO JOÃO DO CARIRI;-7,390201;-36,531521
SÃO JOÃO DO TIGRE;-8,081043;-36,845743
SÃO JOSÉ DA LAGOA TAPADA;-6,944231;-38,15777
SÃO JOSÉ DE CAIANA;-7,24916;-38,297823
SÃO JOSÉ DE ESPINHARAS;-6,84418;-37,325115
SÃO JOSÉ DOS RAMOS;-7,247127;-35,377961
SÃO JOSÉ DE PIRANHAS;-7,12087;-38,501075
SÃO JOSÉ DE PRINCESA;-7,742969;-38,098803
SÃO JOSÉ DO BONFIM;-7,160915;-37,309245
SÃO JOSÉ DO BREJO DO CRUZ;-6,212915;-37,35383
SÃO JOSÉ DO SABUGI;-6,775531;-36,797493
SÃO JOSÉ DOS CORDEIROS;-7,392643;-36,802778
SÃO MAMEDE;-6,930228;-37,094857
SÃO MIGUEL DE TAIPU;-7,249234;-35,210451
SÃO SEBASTIÃO DE LAGOA DE ROÇA;-7,100946;-35,866414
SÃO SEBASTIÃO DO UMBUZEIRO;-8,157119;-37,008417
SAPÉ;-7,087111;-35,230433
SERIDÓ;-6,856909;-36,410764
SERRA BRANCA;-7,480503;-36,655667
SERRA DA RAIZ;-6,685518;-35,442739
SERRA GRANDE;-7,214148;-38,374895
SERRA REDONDA;-7,182549;-35,67427
SERRARIA;-6,817089;-35,644143
SERTÃOZINHO;-6,750798;-35,441751
SOBRADO;-7,144576;-35,238195
SOLÂNEA;-6,759898;-35,656158
SOLEDADE;-7,058741;-36,362665
SOSSÊGO;-6,767528;-36,248224
SOUSA;-6,763378;-38,229605
SUMÉ;-7,671054;-36,880276
TACIMA;-6,488917;-35,638837
TAPEROÁ;-7,209539;-36,828999
TAVARES;-7,635708;-37,878592
TEIXEIRA;-7,223703;-37,251562
TENÓRIO;-6,93826;-36,628
TRIUNFO;-6,576836;-38,598098
UIRAÚNA;-6,524927;-38,407027
UMBUZEIRO;-7,698206;-35,671471
VÁRZEA;-6,770807;-36,992721
VIEIRÓPOLIS;-6,545714;-38,277843
ZABELÊ;-8,076874;-37,093552
ABREU E LIMA;-7,904449;-34,899131
AFOGADOS DA INGAZEIRA;-7,748328;-37,637686
AFRÂNIO;-8,511091;-41,005797
AGRESTINA;-8,455973;-35,946777
ÁGUA PRETA;-8,709123;-35,518557
ÁGUAS BELAS;-9,11459;-37,121957
ALAGOINHA;-8,466271;-36,775456
ALIANÇA;-7,60473;-35,228501
ALTINHO;-8,489593;-36,0597
AMARAJI;-8,378487;-35,450773
ANGELIM;-8,890374;-36,284814
ARAÇOIABA;-7,785642;-35,093967
ARARIPINA;-7,578142;-40,502461
ARCOVERDE;-8,423941;-37,056506
BARRA DE GUABIRABA;-8,420935;-35,662819
BARREIROS;-8,814138;-35,199086
BELÉM DE MARIA;-8,621202;-35,839924
BELÉM DO SÃO FRANCISCO;-8,751463;-38,9616
BELO JARDIM;-8,335295;-36,420035
BETÂNIA;-8,269841;-38,038738
BEZERROS;-8,23536;-35,754488
BODOCÓ;-7,779343;-39,936163
BOM CONSELHO;-9,163383;-36,679314
BOM JARDIM;-7,799512;-35,58714
BONITO;-8,472261;-35,728528
BREJÃO;-9,027249;-36,564697
BREJINHO;-7,345671;-37,287335
BREJO DA MADRE DE DEUS;-8,148957;-36,370391
BUENOS AIRES;-7,724372;-35,32957
BUÍQUE;-8,622059;-37,156988
CABO DE SANTO AGOSTINHO;-8,289864;-35,038489
CABROBÓ;-8,515105;-39,309841
CACHOEIRINHA;-8,486831;-36,235991
CAETÉS;-8,775595;-36,624804
CALÇADO;-8,738378;-36,333288
CALUMBI;-7,938427;-38,153746
CAMARAGIBE;-8,020522;-34,995721
CAMOCIM DE SÃO FÉLIX;-8,362138;-35,765195
CAMUTANGA;-7,407082;-35,282791
CANHOTINHO;-8,883871;-36,193575
CAPOEIRAS;-8,736143;-36,623798
CARNAÍBA;-7,803058;-37,793399
CARNAUBEIRA DA PENHA;-8,320608;-38,743422
CARPINA;-7,846887;-35,258061
CARUARU;-8,285898;-35,967073
CASINHAS;-7,743207;-35,725323
CATENDE;-8,670308;-35,721667
CEDRO;-7,717469;-39,237138
CHÃ DE ALEGRIA;-7,997901;-35,213727
CHÃ GRANDE;-8,240113;-35,464741
CONDADO;-7,589382;-35,104118
CORRENTES;-9,128666;-36,329702
CORTÊS;-8,475151;-35,541587
CUMARU;-8,015032;-35,694699
CUPIRA;-8,611283;-35,950257
CUSTÓDIA;-8,089002;-37,641097
DORMENTES;-8,448657;-40,770736
ESCADA;-8,362522;-35,236157
EXU;-7,516307;-39,722728
FEIRA NOVA;-7,948728;-35,390598
FERNANDO DE NORONHA;-3,852021;-32,435186
FERREIROS;-7,445494;-35,24407
FLORES;-7,861714;-37,971456
FLORESTA;-8,600827;-38,571239
FREI MIGUELINHO;-7,944458;-35,923128
GAMELEIRA;-8,583836;-35,386611
GARANHUNS;-8,888906;-36,49305
GLÓRIA DO GOITÁ;-7,999608;-35,292322
GOIANA;-7,559232;-34,998376
GRANITO;-7,709253;-39,619286
GRAVATÁ;-8,206;-35,571492
IATI;-9,045709;-36,847276
IBIMIRIM;-8,538762;-37,690047
IBIRAJUBA;-8,580535;-36,180463
IGARASSU;-7,828372;-34,910583
IGUARACI;-7,844774;-37,518821
INAJÁ;-8,902046;-37,824485
INGAZEIRA;-7,677797;-37,45767
IPOJUCA;-8,396987;-35,063472
IPUBI;-7,649705;-40,150209
ITACURUBA;-8,724515;-38,686342
ITAÍBA;-8,940054;-37,418948
ILHA DE ITAMARACÁ;-7,746573;-34,823951
ITAMBÉ;-7,409264;-35,110627
ITAPETIM;-7,378429;-37,188439
ITAPISSUMA;-7,774035;-34,889271
ITAQUITINGA;-7,666394;-35,102615
JABOATÃO DOS GUARARAPES;-8,165391;-34,921173
JAQUEIRA;-8,72797;-35,797395
JATAÚBA;-7,987258;-36,498829
JATOBÁ;-9,18507;-38,275038
JOÃO ALFREDO;-7,860189;-35,591502
JOAQUIM NABUCO;-8,626898;-35,529242
JUCATI;-8,707029;-36,490387
JUPI;-8,706097;-36,411734
JUREMA;-8,719667;-36,135954
LAGOA DO CARRO;-7,844232;-35,312602
LAGOA DE ITAENGA;-7,932378;-35,292804
LAGOA DO OURO;-9,124172;-36,464317
LAGOA DOS GATOS;-8,649255;-35,907121
LAGOA GRANDE;-8,995051;-40,270725
LAJEDO;-8,662857;-36,321497
LIMOEIRO;-7,880198;-35,455261
MACAPARANA;-7,555681;-35,449875
MACHADOS;-7,688572;-35,514141
MANARI;-8,960108;-37,626823
MARAIAL;-8,783078;-35,814118
MIRANDIBA;-8,120244;-38,734565
MORENO;-8,118695;-35,094869
NAZARÉ DA MATA;-7,737688;-35,221339
OLINDA;-7,99266;-34,86131
OROBÓ;-7,737895;-35,602982
OROCÓ;-8,617946;-39,595246
OURICURI;-7,883152;-40,081463
PALMARES;-8,679083;-35,588336
PALMEIRINA;-9,001683;-36,327311
PANELAS;-8,667242;-36,001576
PARANATAMA;-8,920145;-36,658429
PARNAMIRIM;-8,090138;-39,575787
PASSIRA;-7,978884;-35,581685
PAUDALHO;-7,897135;-35,179151
PAULISTA;-7,943188;-34,884792
PEDRA;-8,498477;-36,942798
PESQUEIRA;-8,355456;-36,695515
PETROLÂNDIA;-8,977343;-38,220734
PETROLINA;-9,397376;-40,499999
POÇÃO;-8,186227;-36,70588
POMBOS;-8,14436;-35,396195
PRIMAVERA;-8,331376;-35,353943
QUIPAPÁ;-8,827885;-36,01199
QUIXABA;-7,718126;-37,846446
RECIFE;-8,062762;-34,888942
RIACHO DAS ALMAS;-8,127033;-35,860875
RIBEIRÃO;-8,511116;-35,376131
RIO FORMOSO;-8,662171;-35,155433
SAIRÉ;-8,327614;-35,710248
SALGADINHO;-7,939484;-35,638061
SALGUEIRO;-8,070678;-39,120851
SALOÁ;-8,975995;-36,692729
SANHARÓ;-8,362962;-36,562507
SANTA CRUZ;-8,237961;-40,337688
SANTA CRUZ DA BAIXA VERDE;-7,82147;-38,153138
SANTA CRUZ DO CAPIBARIBE;-7,95519;-36,20395
SANTA FILOMENA;-8,160511;-40,615775
SANTA MARIA DA BOA VISTA;-8,804127;-39,824236
SANTA MARIA DO CAMBUCÁ;-7,831813;-35,885243
SANTA TEREZINHA;-7,370356;-37,480033
SÃO BENEDITO DO SUL;-8,810438;-35,931123
SÃO BENTO DO UNA;-8,519868;-36,446298
SÃO CAITANO;-8,327361;-36,13736
SÃO JOÃO;-8,877559;-36,368253
SÃO JOAQUIM DO MONTE;-8,432152;-35,809491
SÃO JOSÉ DA COROA GRANDE;-8,894195;-35,145707
SÃO JOSÉ DO BELMONTE;-7,86174;-38,759454
SÃO JOSÉ DO EGITO;-7,474025;-37,275072
SÃO LOURENÇO DA MATA;-7,995938;-35,041278
SÃO VICENTE FERRER;-7,592213;-35,490122
SERRA TALHADA;-7,987998;-38,296315
SERRITA;-7,95434;-39,292623
SERTÂNIA;-8,07245;-37,26739
SIRINHAÉM;-8,59337;-35,116405
MOREILÂNDIA;-7,629983;-39,553754
SOLIDÃO;-7,602126;-37,64747
SURUBIM;-7,835157;-35,756784
TABIRA;-7,591137;-37,540266
TACAIMBÓ;-8,315611;-36,290404
TACARATU;-9,1057;-38,153461
TAMANDARÉ;-8,704689;-35,090647
TAQUARITINGA DO NORTE;-7,90216;-36,043338
TEREZINHA;-9,057778;-36,621476
TERRA NOVA;-8,230358;-39,374422
TIMBAÚBA;-7,511746;-35,318772
TORITAMA;-8,00665;-36,056843
TRACUNHAÉM;-7,802689;-35,237923
TRINDADE;-7,761795;-40,265591
TRIUNFO;-7,830876;-38,10706
TUPANATINGA;-8,751582;-37,340233
TUPARETAMA;-7,598759;-37,311182
VENTUROSA;-8,576527;-36,878372
VERDEJANTE;-7,932884;-38,974283
VERTENTE DO LÉRIO;-7,774819;-35,853003
VERTENTES;-7,905743;-35,989306
VICÊNCIA;-7,65296;-35,320301
VITÓRIA DE SANTO ANTÃO;-8,118748;-35,293864
XEXÉU;-8,803313;-35,624235
ÁGUA BRANCA;-9,267025;-37,940715
ANADIA;-9,684084;-36,300814
ARAPIRACA;-9,755907;-36,657297
ATALAIA;-9,501387;-36,021427
BARRA DE SANTO ANTÔNIO;-9,409278;-35,500298
BARRA DE SÃO MIGUEL;-9,838998;-35,90745
BATALHA;-9,674593;-37,127092
BELÉM;-9,568648;-36,494498
BELO MONTE;-9,826989;-37,278439
BOCA DA MATA;-9,645145;-36,211725
BRANQUINHA;-9,246583;-36,020034
CACIMBINHAS;-9,405163;-36,99687
CAJUEIRO;-9,389661;-36,156379
CAMPESTRE;-8,848375;-35,566718
CAMPO ALEGRE;-9,783416;-36,352435
CAMPO GRANDE;-9,956923;-36,79084
CANAPI;-9,11738;-37,605647
CAPELA;-9,412932;-36,075008
CARNEIROS;-9,48068;-37,37475
CHÃ PRETA;-9,261422;-36,299381
COITÉ DO NÓIA;-9,638487;-36,579684
COLÔNIA LEOPOLDINA;-8,912688;-35,719781
COQUEIRO SECO;-9,637554;-35,795363
CORURIPE;-10,126547;-36,176078
CRAÍBAS;-9,619934;-36,772391
DELMIRO GOUVEIA;-9,384574;-37,999233
DOIS RIACHOS;-9,385671;-37,08985
ESTRELA DE ALAGOAS;-9,387405;-36,758333
FEIRA GRANDE;-9,900437;-36,677686
FELIZ DESERTO;-10,292381;-36,307188
FLEXEIRAS;-9,273235;-35,724372
GIRAU DO PONCIANO;-9,887364;-36,830314
IBATEGUARA;-8,976985;-35,931184
IGACI;-9,533689;-36,62816
IGREJA NOVA;-10,129299;-36,653345
INHAPI;-9,223899;-37,752637
JACARÉ DOS HOMENS;-9,636659;-37,207833
JACUÍPE;-8,840301;-35,460998
JAPARATINGA;-9,088974;-35,258658
JARAMATAIA;-9,658352;-37,003596
JEQUIÁ DA PRAIA;-10,009592;-36,027334
JOAQUIM GOMES;-9,135979;-35,74903
JUNDIÁ;-8,938877;-35,555597
JUNQUEIRO;-9,93161;-36,471522
LAGOA DA CANOA;-9,830876;-36,735789
LIMOEIRO DE ANADIA;-9,738613;-36,503897
MACEIÓ;-9,660822;-35,70163
MAJOR ISIDORO;-9,526644;-36,9848
MARAGOGI;-9,015456;-35,223015
MARAVILHA;-9,233997;-37,356635
MARECHAL DEODORO;-9,739156;-35,893069
MARIBONDO;-9,57725;-36,306603
MAR VERMELHO;-9,447773;-36,38504
MATA GRANDE;-9,114806;-37,725224
MATRIZ DE CAMARAGIBE;-9,158526;-35,533555
MESSIAS;-9,391812;-35,840378
MINADOR DO NEGRÃO;-9,303683;-36,864916
MONTEIRÓPOLIS;-9,602328;-37,245272
MURICI;-9,316301;-35,947556
NOVO LINO;-8,943159;-35,660964
OLHO D'ÁGUA DAS FLORES;-9,533601;-37,297891
OLHO D'ÁGUA DO CASADO;-9,501446;-37,836243
OLHO D'ÁGUA GRANDE;-10,058495;-36,806746
OLIVENÇA;-9,519456;-37,190819
OURO BRANCO;-9,163415;-37,354444
PALESTINA;-9,673097;-37,331136
PALMEIRA DOS ÍNDIOS;-9,406159;-36,630984
PÃO DE AÇÚCAR;-9,747042;-37,435139
PARICONHA;-9,257884;-38,009826
PARIPUEIRA;-9,466313;-35,559105
PASSO DE CAMARAGIBE;-9,244847;-35,491275
PAULO JACINTO;-9,373364;-36,372742
PENEDO;-10,29611;-36,58046
PIAÇABUÇU;-10,407362;-36,434352
PILAR;-9,606894;-35,948518
PINDOBA;-9,476211;-36,286541
PIRANHAS;-9,623559;-37,750393
POÇO DAS TRINCHEIRAS;-9,302914;-37,279298
PORTO CALVO;-9,052448;-35,398334
PORTO DE PEDRAS;-9,156086;-35,297015
PORTO REAL DO COLÉGIO;-10,173733;-36,824629
QUEBRANGULO;-9,323547;-36,477222
RIO LARGO;-9,486158;-35,852422
ROTEIRO;-9,832189;-35,98121
SANTA LUZIA DO NORTE;-9,596768;-35,823488
SANTANA DO IPANEMA;-9,372284;-37,245407
SANTANA DO MUNDAÚ;-9,165033;-36,225234
SÃO BRÁS;-10,12031;-36,898949
SÃO JOSÉ DA LAJE;-9,011066;-36,057388
SÃO JOSÉ DA TAPERA;-9,549396;-37,383708
SÃO LUÍS DO QUITUNDE;-9,314117;-35,565491
SÃO MIGUEL DOS CAMPOS;-9,779935;-36,094264
SÃO MIGUEL DOS MILAGRES;-9,267186;-35,369119
SÃO SEBASTIÃO;-9,931657;-36,551092
SATUBA;-9,569428;-35,82854
SENADOR RUI PALMEIRA;-9,463391;-37,453646
TANQUE D'ARCA;-9,531962;-36,436742
TAQUARANA;-9,64232;-36,496768
TEOTÔNIO VILELA;-9,907498;-36,355563
TRAIPU;-9,971059;-37,006006
UNIÃO DOS PALMARES;-9,159524;-36,033143
VIÇOSA;-9,377054;-36,248393
AMPARO DE SÃO FRANCISCO;-10,133971;-36,927484
AQUIDABÃ;-10,292518;-37,022181
ARACAJU;-10,907216;-37,048213
ARAUÁ;-11,264505;-37,612337
AREIA BRANCA;-10,758192;-37,313363
BARRA DOS COQUEIROS;-10,906799;-37,041242
BOQUIM;-11,146392;-37,623573
BREJO GRANDE;-10,418943;-36,47182
CAMPO DO BRITO;-10,743335;-37,496356
CANHOBA;-10,138744;-36,973845
CANINDÉ DE SÃO FRANCISCO;-9,654104;-37,787964
CAPELA;-10,5061;-37,054833
CARIRA;-10,358017;-37,701919
CARMÓPOLIS;-10,646819;-36,990816
CEDRO DE SÃO JOÃO;-10,247765;-36,884036
CRISTINÁPOLIS;-11,473558;-37,75466
CUMBE;-10,357025;-37,187899
DIVINA PASTORA;-10,677376;-37,149345
ESTÂNCIA;-11,267949;-37,440011
FEIRA NOVA;-10,270533;-37,316118
FREI PAULO;-10,540085;-37,541876
GARARU;-9,967351;-37,084372
GENERAL MAYNARD;-10,68653;-36,987984
GRACHO CARDOSO;-10,2262;-37,196055
ILHA DAS FLORES;-10,434276;-36,538635
INDIAROBA;-11,518507;-37,515095
ITABAIANA;-10,685716;-37,426861
ITABAIANINHA;-11,276785;-37,787411
ITABI;-10,12349;-37,09965
ITAPORANGA D'AJUDA;-10,996733;-37,307827
JAPARATUBA;-10,589467;-36,941786
JAPOATÃ;-10,34651;-36,800756
LAGARTO;-10,915301;-37,666353
LARANJEIRAS;-10,79703;-37,160568
MACAMBIRA;-10,66415;-37,543445
MALHADA DOS BOIS;-10,346452;-36,918902
MALHADOR;-10,660044;-37,31146
MARUIM;-10,736932;-37,083314
MOITA BONITA;-10,579044;-37,345749
MONTE ALEGRE DE SERGIPE;-10,025862;-37,561426
MURIBECA;-10,427427;-36,957001
NEÓPOLIS;-10,315878;-36,576718
NOSSA SENHORA APARECIDA;-10,394651;-37,454439
NOSSA SENHORA DA GLÓRIA;-10,215687;-37,419921
NOSSA SENHORA DAS DORES;-10,492054;-37,193711
NOSSA SENHORA DE LOURDES;-10,078616;-37,050473
NOSSA SENHORA DO SOCORRO;-10,848754;-37,128496
PACATUBA;-10,4499;-36,647986
PEDRA MOLE;-10,618119;-37,686027
PEDRINHAS;-11,193503;-37,681128
PINHÃO;-10,56669;-37,722111
PIRAMBU;-10,741056;-36,859746
POÇO REDONDO;-9,80579;-37,684214
POÇO VERDE;-10,707599;-38,176658
PORTO DA FOLHA;-9,919259;-37,276635
PROPRIÁ;-10,208207;-36,842099
RIACHÃO DO DANTAS;-11,066402;-37,729341
RIACHUELO;-10,731651;-37,193457
RIBEIRÓPOLIS;-10,54519;-37,432939
ROSÁRIO DO CATETE;-10,69459;-37,031323
SALGADO;-11,022119;-37,477755
SANTA LUZIA DO ITANHY;-11,353317;-37,449842
SANTANA DO SÃO FRANCISCO;-10,287672;-36,599579
SANTA ROSA DE LIMA;-10,646234;-37,197732
SANTO AMARO DAS BROTAS;-10,782011;-37,056311
SÃO CRISTÓVÃO;-11,013677;-37,209499
SÃO DOMINGOS;-10,792326;-37,568429
SÃO FRANCISCO;-10,346486;-36,88624
SÃO MIGUEL DO ALEIXO;-10,387772;-37,383976
SIMÃO DIAS;-10,738062;-37,809431
SIRIRI;-10,605036;-37,112225
TELHA;-10,209173;-36,88385
TOBIAS BARRETO;-11,18433;-37,999001
TOMAR DO GERU;-11,368052;-37,845371
UMBAÚBA;-11,379872;-37,661147
ABAÍRA;-13,253532;-41,661608
ABARÉ;-8,723418;-39,116588
ACAJUTIBA;-11,662613;-38,018286
ADUSTINA;-10,529572;-38,115506
ÁGUA FRIA;-11,872931;-38,768078
ÉRICO CARDOSO;-13,422348;-42,136164
AIQUARA;-14,127277;-39,885778
ALAGOINHAS;-12,134183;-38,422616
ALCOBAÇA;-17,518933;-39,194214
ALMADINA;-14,706048;-39,635903
AMARGOSA;-13,034451;-39,598123
AMÉLIA RODRIGUES;-12,400188;-38,755557
AMÉRICA DOURADA;-11,449646;-41,437163
ANAGÉ;-14,611326;-41,127113
ANDARAÍ;-12,801351;-41,324642
ANDORINHA;-10,34424;-39,832336
ANGICAL;-12,006683;-44,695823
ANGUERA;-12,149587;-39,248499
ANTAS;-10,412702;-38,331042
ANTÔNIO CARDOSO;-12,434839;-39,118662
ANTÔNIO GONÇALVES;-10,575798;-40,275659
APORÁ;-11,655394;-38,079995
APUAREMA;-13,853229;-39,742132
ARACATU;-14,42663;-41,461685
ARAÇAS;-12,2152;-38,198288
ARACI;-11,335728;-38,960958
ARAMARI;-12,088183;-38,503066
ARATACA;-15,260873;-39,413282
ARATUÍPE;-13,080597;-39,002911
AURELINO LEAL;-14,316949;-39,321997
BAIANÓPOLIS;-12,304125;-44,536098
BAIXA GRANDE;-11,959357;-40,166861
BANZAÊ;-10,574092;-38,61187
BARRA;-11,088955;-43,143639
BARRA DA ESTIVA;-13,620205;-41,331696
BARRA DO CHOÇA;-14,864273;-40,576373
BARRA DO MENDES;-11,808828;-42,059128
BARRA DO ROCHA;-14,210029;-39,601386
BARREIRAS;-12,144925;-45,004168
BARRO ALTO;-11,761064;-41,912096
BARROCAS;-11,529113;-39,078669
BARRO PRETO;-14,809754;-39,473335
BELMONTE;-15,861396;-38,880303
BELO CAMPO;-15,033496;-41,260033
BIRITINGA;-11,62011;-38,812159
BOA NOVA;-14,362608;-40,200522
BOA VISTA DO TUPIM;-12,661322;-40,605743
BOM JESUS DA LAPA;-13,254114;-43,417142
BOM JESUS DA SERRA;-14,372922;-40,501176
BONINAL;-12,715121;-41,824328
BONITO;-11,969573;-41,268403
BOQUIRA;-12,820823;-42,730115
BOTUPORÃ;-13,380866;-42,529278
BREJÕES;-13,105536;-39,793492
BREJOLÂNDIA;-12,486693;-43,965665
BROTAS DE MACAÚBAS;-12,002636;-42,624691
BRUMADO;-14,205438;-41,66707
BUERAREMA;-14,956441;-39,30252
BURITIRAMA;-10,711791;-43,631381
CAATIBA;-14,978551;-40,410272
CABACEIRAS DO PARAGUAÇU;-12,537136;-39,186713
CACHOEIRA;-12,596211;-38,969398
CACULÉ;-14,504206;-42,221414
CAÉM;-11,093092;-40,437312
CAETANOS;-14,338563;-40,90929
CAETITÉ;-14,066754;-42,485711
CAFARNAUM;-11,691356;-41,472222
CAIRU;-13,487603;-39,043254
CALDEIRÃO GRANDE;-11,022156;-40,30737
CAMACAN;-15,417627;-39,496367
CAMAÇARI;-12,698817;-38,32574
CAMAMU;-13,947076;-39,10057
CAMPO ALEGRE DE LOURDES;-9,517154;-43,012298
CAMPO FORMOSO;-10,505662;-40,318821
CANÁPOLIS;-13,075911;-44,205029
CANARANA;-11,687583;-41,765492
CANAVIEIRAS;-15,679777;-38,947376
CANDEAL;-11,80497;-39,123718
CANDEIAS;-12,671923;-38,543596
CANDIBA;-14,413187;-42,864402
CÂNDIDO SALES;-15,506066;-41,241118
CANSANÇÃO;-10,66675;-39,496605
CANUDOS;-9,890673;-39,024071
CAPELA DO ALTO ALEGRE;-11,670082;-39,835355
CAPIM GROSSO;-11,381574;-40,011001
CARAÍBAS;-14,722069;-41,265431
CARAVELAS;-17,733371;-39,253382
CARDEAL DA SILVA;-11,940767;-37,945477
CARINHANHA;-14,302007;-43,761777
CASA NOVA;-9,178595;-40,975797
CASTRO ALVES;-12,765833;-39,426519
CATOLÂNDIA;-12,316006;-44,85977
CATU;-12,355187;-38,376294
CATURAMA;-13,328201;-42,296407
CENTRAL;-11,137989;-42,112349
CHORROCHÓ;-8,975478;-39,10237
CÍCERO DANTAS;-10,592172;-38,383419
CIPÓ;-11,101144;-38,517129
COARACI;-14,636814;-39,552304
COCOS;-14,171078;-44,545669
CONCEIÇÃO DA FEIRA;-12,503992;-38,999781
CONCEIÇÃO DO ALMEIDA;-12,77802;-39,170946
CONCEIÇÃO DO COITÉ;-11,561826;-39,281684
CONCEIÇÃO DO JACUÍPE;-12,322946;-38,763674
CONDE;-11,813432;-37,606978
CONDEÚBA;-14,89041;-41,97081
CONTENDAS DO SINCORÁ;-13,755497;-41,046318
CORAÇÃO DE MARIA;-12,247921;-38,750517
CORDEIROS;-15,037234;-41,935734
CORIBE;-13,827842;-44,453036
CORONEL JOÃO SÁ;-10,279395;-37,932964
CORRENTINA;-13,341772;-44,641087
COTEGIPE;-12,028597;-44,252476
CRAVOLÂNDIA;-13,362623;-39,812712
CRISÓPOLIS;-11,51779;-38,151716
CRISTÓPOLIS;-12,231451;-44,411842
CRUZ DAS ALMAS;-12,663786;-39,100736
CURAÇÁ;-8,989032;-39,908081
DÁRIO MEIRA;-14,435047;-39,902466
DIAS D'ÁVILA;-12,604368;-38,297994
DOM BASÍLIO;-13,763327;-41,770878
DOM MACEDO COSTA;-12,911489;-39,188094
ELÍSIO MEDRADO;-12,943326;-39,520486
ENCRUZILHADA;-15,53458;-40,909121
ENTRE RIOS;-11,937261;-38,078777
ESPLANADA;-11,799409;-37,944981
EUCLIDES DA CUNHA;-10,505818;-39,014249
EUNÁPOLIS;-16,375167;-39,584172
FÁTIMA;-10,60017;-38,208675
